2. AKIM,Doğu Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,105,53
,DÜZ,U,SAĞ,,
SABAH,,,,,
07:00-07:15,108,0,1,,
07:15-07:30,144,0,6,,
07:30-07:45,226,0,7,,
07:45-08:00,270,0,12,,
08:00-08:15,339,1,8,,
08:15-08:30,338,0,27,,
08:30-08:45,369,0,32,,
,,,,,
09:00-09:15,332,0,67,,
09:15-09:30,330,0,45,,
09:30-09:45,274,0,50,,
09:45-10:00,295,0,86,,
ÖĞLE,,,,,
12:00-12:15,245,0,40,,
12:15-12:30,257,0,53,,
12:30-12:45,268,0,54,,
12:45-13:00,275,0,59,,
13:00-13:15,233,1,52,,
,,,,,
13:30-13:45,285,0,56,,
13:45-14:00,298,2,52,,
AKŞAM,,,,,
16:00-16:15,285,0,41,,
16:15-16:30,306,1,43,,
16:30-16:45,301,1,34,,
16:45-17:00,317,1,37,,
17:00-17:15,291,0,43,,
17:15-17:30,294,0,44,,
17:30-17:45,281,1,31,,
,,,,,
,,,,,
,,,,,
18:30-18:45,313,0,21,,
18:45-19:00,213,0,14,,
19:00-19:15,205,0,13,,
19:15-19:30,164,0,5,,
19:30-19:45,134,0,2,,
19:45-20:00,107,0,2,,
