3. AKIM,Kuzey Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,105,23
,SAĞ,SOL,U,,
SABAH,,,,,
07:00-07:15,4,10,0,,
07:15-07:30,2,6,0,,
07:30-07:45,4,13,0,,
07:45-08:00,4,25,0,,
08:00-08:15,8,23,0,,
08:15-08:30,10,29,0,,
08:30-08:45,15,25,0,,
,,,,,
09:00-09:15,18,45,0,,
09:15-09:30,19,41,0,,
09:30-09:45,30,50,0,,
09:45-10:00,41,42,0,,
ÖĞLE,,,,,
12:00-12:15,52,62,0,,
12:15-12:30,50,51,0,,
12:30-12:45,56,60,0,,
12:45-13:00,55,45,1,,
13:00-13:15,56,51,0,,
,,,,,
13:30-13:45,54,61,0,,
13:45-14:00,46,42,0,,
AKŞAM,,,,,
16:00-16:15,48,66,0,,
16:15-16:30,43,61,0,,
16:30-16:45,43,60,0,,
16:45-17:00,41,57,0,,
17:00-17:15,48,54,0,,
17:15-17:30,34,52,0,,
17:30-17:45,34,68,1,,
,,,,,
,,,,,
,,,,,
18:30-18:45,22,47,0,,
18:45-19:00,21,45,0,,
19:00-19:15,18,38,0,,
19:15-19:30,17,27,0,,
19:30-19:45,14,27,0,,
19:45-20:00,7,16,0,,
