2. AKIM,Güney Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,105,74
,DÜZ,U,SOL,,
SABAH,TOPLAM,TOPLAM,TOPLAM,,
07:00-07:15,109,0,3,,
07:15-07:30,142,0,8,,
07:30-07:45,223,0,18,,
07:45-08:00,280,0,30,,
08:00-08:15,319,0,34,,
08:15-08:30,312,2,32,,
08:30-08:45,383,0,59,,
,,,,,
09:00-09:15,323,0,44,,
09:15-09:30,292,1,40,,
09:30-09:45,229,1,33,,
09:45-10:00,261,0,36,,
ÖĞLE,,,,,
12:00-12:15,213,1,34,,
12:15-12:30,218,0,30,,
12:30-12:45,229,3,38,,
12:45-13:00,232,2,36,,
13:00-13:15,200,0,41,,
,,,,,
13:30-13:45,216,1,32,,
13:45-14:00,263,1,39,,
AKŞAM,,,,,
16:00-16:15,234,1,29,,
16:15-16:30,253,1,19,,
16:30-16:45,248,1,33,,
16:45-17:00,249,1,20,,
17:00-17:15,247,0,24,,
17:15-17:30,252,2,23,,
17:30-17:45,260,0,23,,
,,,,,
,,,,,
,,,,,
18:30-18:45,234,0,11,,
18:45-19:00,171,0,7,,
19:00-19:15,174,0,3,,
19:15-19:30,144,0,7,,
19:30-19:45,114,2,5,,
19:45-20:00,92,0,4,,
