3. AKIM,Batı Geliş,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,105,23
,SOL,SAĞ,U,,
SABAH,,,,,
07:00-07:15,3,4,0,,
07:15-07:30,0,0,0,,
07:30-07:45,11,1,0,,
07:45-08:00,10,0,0,,
08:00-08:15,22,7,0,,
08:15-08:30,31,9,1,,
08:30-08:45,35,18,0,,
,,,,,
09:00-09:15,66,29,0,,
09:15-09:30,55,37,0,,
09:30-09:45,62,39,0,,
09:45-10:00,46,41,0,,
ÖĞLE,,,,,
12:00-12:15,72,31,0,,
12:15-12:30,79,33,0,,
12:30-12:45,82,46,0,,
12:45-13:00,74,42,1,,
13:00-13:15,67,51,0,,
,,,,,
13:30-13:45,82,58,0,,
13:45-14:00,84,45,0,,
AKŞAM,,,,,
16:00-16:15,81,40,0,,
16:15-16:30,86,35,0,,
16:30-16:45,80,43,0,,
16:45-17:00,76,48,1,,
17:00-17:15,80,46,1,,
17:15-17:30,94,37,0,,
17:30-17:45,103,50,0,,
,,,,,
,,,,,
,,,,,
18:30-18:45,121,77,1,,
18:45-19:00,49,45,0,,
19:00-19:15,44,26,0,,
19:15-19:30,19,7,0,,
19:30-19:45,18,7,1,,
19:45-20:00,10,7,0,,
