1. AKIM,Kuzey Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,1>1,1>2,1>3,1>4,105,51
,U,DÜZ,SAĞ,SOL,,
SABAH,,,,,,
07:00-07:15,0,168,10,19,,
07:15-07:30,2,284,27,23,,
07:30-07:45,1,265,25,27,,
07:45-08:00,0,280,49,34,,
08:00-08:15,1,244,62,28,,
08:15-08:30,1,268,49,29,,
08:30-08:45,0,248,64,26,,
,,,,,,
09:00-09:15,0,262,52,29,,
09:15-09:30,0,212,40,41,,
09:30-09:45,0,215,33,42,,
09:45-10:00,0,166,27,44,,
ÖĞLE,,,,,,
12:00-12:15,0,189,36,40,,
12:15-12:30,0,148,22,32,,
12:30-12:45,0,159,35,28,,
12:45-13:00,0,159,19,32,,
13:00-13:15,1,169,37,36,,
,,,,,,
13:30-13:45,0,201,17,43,,
13:45-14:00,2,203,24,50,,
AKŞAM,,,,,,
16:00-16:15,1,218,37,56,,
16:15-16:30,0,213,34,61,,
16:30-16:45,0,225,40,64,,
16:45-17:00,1,229,34,43,,
17:00-17:15,1,200,19,51,,
17:15-17:30,1,189,38,42,,
17:30-17:45,2,184,37,42,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,0,154,19,50,,
18:45-19:00,4,168,28,69,,
19:00-19:15,0,189,29,49,,
19:15-19:30,0,179,23,47,,
19:30-19:45,0,162,21,43,,
19:45-20:00,0,145,10,52,,
