3. AKIM,Batı Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,3>1,3>2,3>3,3>4,105,22
,SOL,SAĞ,U,DÜZ,,
SABAH,,,,,,
07:00-07:15,6,15,0,14,,
07:15-07:30,10,21,0,32,,
07:30-07:45,14,33,1,33,,
07:45-08:00,20,28,0,53,,
08:00-08:15,28,50,0,48,,
08:15-08:30,42,27,0,70,,
08:30-08:45,45,54,2,76,,
,,,,,,
09:00-09:15,44,55,0,61,,
09:15-09:30,47,58,2,78,,
09:30-09:45,52,59,0,81,,
09:45-10:00,41,57,0,69,,
ÖĞLE,,,,,,
12:00-12:15,70,63,0,60,,
12:15-12:30,31,62,1,70,,
12:30-12:45,40,59,1,84,,
12:45-13:00,51,60,4,68,,
13:00-13:15,37,59,0,66,,
,,,,,,
13:30-13:45,28,62,2,60,,
13:45-14:00,34,69,1,80,,
AKŞAM,,,,,,
16:00-16:15,44,80,1,72,,
16:15-16:30,68,73,2,80,,
16:30-16:45,73,58,1,82,,
16:45-17:00,100,79,2,92,,
17:00-17:15,121,65,0,111,,
17:15-17:30,103,64,2,128,,
17:30-17:45,126,62,0,131,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,177,32,0,143,,
18:45-19:00,151,45,0,140,,
19:00-19:15,145,38,0,113,,
19:15-19:30,68,37,0,102,,
19:30-19:45,29,39,0,81,,
19:45-20:00,37,33,1,75,,
