2. AKIM,Güney Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,2>1,2>2,2>3,2>4,105,25
,DÜZ,U,SOL,SAĞ,,
SABAH,,,,,,
07:00-07:15,103,0,2,0,,
07:15-07:30,117,0,3,0,,
07:30-07:45,178,0,4,1,,
07:45-08:00,200,0,9,0,,
08:00-08:15,202,0,14,0,,
08:15-08:30,220,0,18,1,,
08:30-08:45,249,2,23,2,,
,,,,,,
09:00-09:15,243,1,22,2,,
09:15-09:30,191,0,28,4,,
09:30-09:45,177,1,25,5,,
09:45-10:00,168,2,27,13,,
ÖĞLE,,,,,,
12:00-12:15,122,0,25,14,,
12:15-12:30,124,4,17,9,,
12:30-12:45,128,1,24,15,,
12:45-13:00,151,1,20,8,,
13:00-13:15,121,2,23,11,,
,,,,,,
13:30-13:45,138,1,24,8,,
13:45-14:00,142,1,26,7,,
AKŞAM,,,,,,
16:00-16:15,135,2,14,12,,
16:15-16:30,162,2,16,6,,
16:30-16:45,155,1,25,7,,
16:45-17:00,153,1,22,3,,
17:00-17:15,165,1,21,4,,
17:15-17:30,160,1,14,8,,
17:30-17:45,174,0,26,4,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,133,1,8,0,,
18:45-19:00,133,1,2,0,,
19:00-19:15,128,2,6,0,,
19:15-19:30,109,1,2,1,,
19:30-19:45,75,0,1,3,,
19:45-20:00,74,1,3,1,,
