4. AKIM,Doğu Geliş,,,,Tur Süresi (sn),Yeşil Süresi (sn)
Dönüş Yönleri,4>1,4>2,4>3,4>4,105,13
,SAĞ,SOL,DÜZ,U,,
SABAH,,,,,,
07:00-07:15,1,0,1,0,,
07:15-07:30,0,1,2,0,,
07:30-07:45,4,1,7,0,,
07:45-08:00,3,3,9,0,,
08:00-08:15,4,4,20,0,,
08:15-08:30,6,4,18,0,,
08:30-08:45,6,7,12,0,,
,,,,,,
09:00-09:15,12,5,27,0,,
09:15-09:30,27,3,29,0,,
09:30-09:45,16,12,22,0,,
09:45-10:00,30,13,32,0,,
ÖĞLE,,,,,,
12:00-12:15,24,13,22,3,,
12:15-12:30,16,26,18,1,,
12:30-12:45,32,15,24,1,,
12:45-13:00,30,3,39,0,,
13:00-13:15,21,13,29,0,,
,,,,,,
13:30-13:45,30,10,29,0,,
13:45-14:00,27,14,44,0,,
AKŞAM,,,,,,
16:00-16:15,16,15,28,0,,
16:15-16:30,21,13,33,0,,
16:30-16:45,24,6,21,0,,
16:45-17:00,22,13,26,0,,
17:00-17:15,27,9,16,0,,
17:15-17:30,18,11,30,0,,
17:30-17:45,27,18,14,0,,
,,,,,,
,,,,,,
,,,,,,
18:30-18:45,23,8,11,0,,
18:45-19:00,12,8,5,0,,
19:00-19:15,4,8,4,0,,
19:15-19:30,11,8,1,0,,
19:30-19:45,3,2,5,0,,
19:45-20:00,4,6,0,0,,
