,0
JOINT_309_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_309_CURRENT_TO_1_TIMELAG_0,serious
JOINT_309_CURRENT_FROM_2_TIMELAG_0,serious
JOINT_309_CURRENT_TO_2_TIMELAG_0,none
JOINT_309_CURRENT_FROM_3_TIMELAG_0,few
JOINT_309_CURRENT_TO_3_TIMELAG_0,few
JOINT_310_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_310_CURRENT_TO_1_TIMELAG_0,congestion
JOINT_310_CURRENT_FROM_2_TIMELAG_0,serious
JOINT_310_CURRENT_TO_2_TIMELAG_0,serious
JOINT_310_CURRENT_FROM_3_TIMELAG_0,normal
JOINT_310_CURRENT_TO_3_TIMELAG_0,none
JOINT_311_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_311_CURRENT_TO_1_TIMELAG_0,few
JOINT_311_CURRENT_FROM_2_TIMELAG_0,congestion
JOINT_311_CURRENT_TO_2_TIMELAG_0,congestion
JOINT_311_CURRENT_FROM_3_TIMELAG_0,normal
JOINT_311_CURRENT_TO_3_TIMELAG_0,serious
JOINT_325_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_325_CURRENT_TO_1_TIMELAG_0,few
JOINT_325_CURRENT_FROM_2_TIMELAG_0,serious
JOINT_325_CURRENT_TO_2_TIMELAG_0,serious
JOINT_325_CURRENT_FROM_3_TIMELAG_0,mild
JOINT_325_CURRENT_TO_3_TIMELAG_0,normal
JOINT_326_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_326_CURRENT_TO_1_TIMELAG_0,mild
JOINT_326_CURRENT_FROM_2_TIMELAG_0,serious
JOINT_326_CURRENT_TO_2_TIMELAG_0,mild
JOINT_326_CURRENT_FROM_3_TIMELAG_0,serious
JOINT_326_CURRENT_TO_3_TIMELAG_0,few
JOINT_326_CURRENT_FROM_4_TIMELAG_0,normal
JOINT_326_CURRENT_TO_4_TIMELAG_0,mild
JOINT_622_CURRENT_FROM_1_TIMELAG_0,serious
JOINT_622_CURRENT_TO_1_TIMELAG_0,none
JOINT_622_CURRENT_FROM_2_TIMELAG_0,mild
JOINT_622_CURRENT_TO_2_TIMELAG_0,normal
JOINT_622_CURRENT_FROM_3_TIMELAG_0,few
JOINT_622_CURRENT_TO_3_TIMELAG_0,few
JOINT_622_CURRENT_FROM_4_TIMELAG_0,few
JOINT_622_CURRENT_TO_4_TIMELAG_0,none
